Event;Beginning date;Ending date;Type
Christmas;25.12.08;;Religious Celebration
Christmas;25.12.09;;Religious Celebration
Thanksgiving;27.11.08;;Cultural Celebration
Thanksgiving;26.11.09;;Cultural Celebration
New Year's Eve;31.12.08;;Cultural Celebration
New Year's Eve;31.12.09;;Cultural Celebration
Passover;20.04.08;26.04.08;Religious Celebration
Passover;09.04.09;15.04.09;Religious Celebration
Passover;30.03.10;05.04.10;Religious Celebration
Ghandi's Birthday;02.10.08;;Religious/Cultural Celebration
Ghandi's Birthday;02.10.09;;Religious/Cultural Celebration
Ghandi's Birthday;02.10.10;;Religious/Cultural Celebration
Halloween;31.10.08;;Cultural Celebration
Halloween;21.10.09;;Cultural Celebration
Halloween;31.10.10;;Cultural Celebration
Chinese New Year;26.01.09;;Cultural Celebration
Chinese New Year;14.02.10;;Cultural Celebration
Easter;13.03.09;14.03.09;Religious Celebration
Easter;04.03.10;05.03.10;Religious Celebration
Ramadan;01.09.08;30.09.08;Religious Celebration
Ramadan;21.08.09;20.09.09;Religious Celebration
Ramadan;10.08.10;09.09.10;Religious Celebration
USA Election;04.11.08;;Major Political Event
USA National Day;04.07.08;;Cultural Celebration
USA National Day;04.07.09;;Cultural Celebration
USA National Day;04.07.10;;Cultural Celebration
French National Day;14.07.08;;Cultural Celebration
French National Day;14.07.09;;Cultural Celebration
French National Day;14.07.10;;Cultural Celebration
Chinese National Day;01.10.08;;Cultural Celebration
Chinese National Day;01.10.09;;Cultural Celebration
Chinese National Day;01.10.10;;Cultural Celebration
St Patrick's Day;17.03.09;;Religious/Cultural Celebration
St Patrick's Day;17.03.10;;Religious/Cultural Celebration
Soccer World Championship;11.06.10;11.07.10;Major Sports Event
Summer Solstice;21.06.08;;Religious/Cultural Celebration
Summer Solstice;21.06.09;;Religious/Cultural Celebration
Summer Solstice;21.06.10;;Religious/Cultural Celebration
Gay Pride NYC;29.06.09;;Cultural/Social Event
Gay Pride NYC;28.06.10;;Cultural/Social Event
Summer Olympic Games;08.08.08;24.08.08;Major Sports Event
Winter Olympic Games;12.02.10;28.02.10;Major Sports Event
International Day Of Commemoration in Memory of the Victims of the Holocaust;27.01.09;;Cultural/Social Event
International Day Of Commemoration in Memory of the Victims of the Holocaust;27.01.10;;Cultural/Social Event
International Day For Women's Righs;08.03.09;;Cultural/Social Event
International Day For Women's Righs;08.03.10;;Cultural/Social Event
Super Bowl;01.02.09;;Major Sports Event
Super Bowl;07.02.10;;Major Sports Event
